titre,realisateur,adresse,organisme_demandeur,type_de_tournage,ardt,date_debut,date_fin,x,y
10%/SAISON 2,JEANNE HERRY,149  RUE  SAINT HONORE,MON VOISIN PRODUCTIONS,SERIE TELEVISEE,1er,2016-09-05,2016-09-05,48.862012, 2.339698
10%/SAISON 2,JEANNE HERRY,234  RUE  DE RIVOLI,MON VOISIN PRODUCTIONS,SERIE TELEVISEE,1er,2016-09-05,2016-09-05,48.865375, 2.327206
10%/SAISON 2,JEANNE HERRY,RUE  CROIX DES PETITS CHAMPS,MON VOISIN PRODUCTIONS,SERIE TELEVISEE,1er,2016-09-05,2016-09-05,48.863996, 2.340163
10%/SAISON 2,JEANNE HERRY,RUE  DE RIVOLI,MON VOISIN PRODUCTIONS,SERIE TELEVISEE,1er,2016-09-05,2016-09-05,48.861863, 2.338081
10%/SAISON 2,JEANNE HERRY,RUE  DE RIVOLI/DE CASTIGLIONE,MON VOISIN PRODUCTIONS,SERIE TELEVISEE,1er,2016-09-05,2016-09-05,48.865778, 2.327951
10%/SAISON 2,JEANNE HERRY,RUE  MARENGO,MON VOISIN PRODUCTIONS,SERIE TELEVISEE,1er,2016-09-05,2016-09-05,48.861861, 2.339391
120 BATTEMENTS PAR MINUTE,ROBIN CAMPILLO,7  PLACE  VENDOME,LES FILMS DE PIERRE,LONG METRAGE,1er,2016-10-17,2016-10-17,48.867285, 2.328333
120 BATTEMENTS PAR MINUTE,ROBIN CAMPILLO,RUE  DE HARLAY,LES FILMS DE PIERRE,LONG METRAGE,1er,2016-07-02,2016-07-02,48.856701, 2.343164
120 BATTEMENTS PAR MINUTE,ROBIN CAMPILLO,RUE  DES BOURDONNAIS,LES FILMS DE PIERRE,LONG METRAGE,1er,2016-07-02,2016-07-02,48.859439, 2.344681
120 BATTEMENTS PAR MINUTE,ROBIN CAMPILLO,RUE  EDOUARD COLONNA,LES FILMS DE PIERRE,LONG METRAGE,1er,2016-07-02,2016-07-02,48.857892, 2.345601
ALICE NEVERS  LE JUGE EST UNE FEMME/80 ET 81,JULIEN ZIDI,4  BOULEVARD  DU PALAIS/PALAIS DE JUSTICE,EGO PRODUCTION,SERIE TELEVISEE,1er,2016-03-01,2016-03-01,48.855732, 2.345992
ALICE NEVERS  LE JUGE EST UNE FEMME/80 ET 81,JULIEN ZIDI,7  RUE  DE HARLAY,EGO PRODUCTION,SERIE TELEVISEE,1er,2016-03-01,2016-03-01,48.856701, 2.343164
ALICE NEVERS  LE JUGE EST UNE FEMME/82 ET 83,ERIC LE ROUX,184/192  RUE  DE RIVOLI,EGO PRODUCTION,SERIE TELEVISEE,1er,2016-04-04,2016-04-04,48.863714, 2.332362
ALICE NEVERS  LE JUGE EST UNE FEMME/82 ET 83,ERIC LE ROUX,254/256  RUE  SAINT HONORE,EGO PRODUCTION,SERIE TELEVISEE,1er,2016-04-01,2016-04-01,48.864119, 2.333768
ALICE NEVERS  LE JUGE EST UNE FEMME/82 ET 83,ERIC LE ROUX,3  RUE  D'ARGENTEUIL,EGO PRODUCTION,SERIE TELEVISEE,1er,2016-04-01,2016-04-01,48.864359, 2.334043
ALICE NEVERS  LE JUGE EST UNE FEMME/82 ET 83,ERIC LE ROUX,3  RUE  D'ARGENTEUIL,EGO PRODUCTION,SERIE TELEVISEE,1er,2016-04-04,2016-04-04,48.864359, 2.334043
ALICE NEVERS  LE JUGE EST UNE FEMME/82 ET 83,ERIC LE ROUX,36/40  QUAI  DES ORFEVRES,EGO PRODUCTION,SERIE TELEVISEE,1er,2016-03-24,2016-03-24,48.856182, 2.342193
ALICE NEVERS  LE JUGE EST UNE FEMME/82 ET 83,ERIC LE ROUX,4  BOULEVARD  DU PALAIS,EGO PRODUCTION,SERIE TELEVISEE,1er,2016-03-24,2016-03-24,48.855732, 2.345992
ALICE NEVERS  LE JUGE EST UNE FEMME/82 ET 83,ERIC LE ROUX,5/7  RUE  DE L'ECHELLE,EGO PRODUCTION,SERIE TELEVISEE,1er,2016-04-04,2016-04-04,48.864024, 2.334199
ALICE NEVERS  LE JUGE EST UNE FEMME/82 ET 83,ERIC LE ROUX,7  RUE  DE L'ECHELLE,EGO PRODUCTION,SERIE TELEVISEE,1er,2016-03-30,2016-03-30,48.864024, 2.334199
ALICE NEVERS  LE JUGE EST UNE FEMME/82 ET 83,ERIC LE ROUX,7  RUE  DE L'ECHELLE,EGO PRODUCTION,SERIE TELEVISEE,1er,2016-03-31,2016-03-31,48.864024, 2.334199
ALICE NEVERS  LE JUGE EST UNE FEMME/84 ET 85,ERIC LE ROUX,QUAI  DES ORFEVRES,EGO PRODUCTION,SERIE TELEVISEE,1er,2016-09-30,2016-09-30,48.856182, 2.342193
ALICE NEVERS  LE JUGE EST UNE FEMME/84 ET 85,ERIC LE ROUX,RUE  DE HARLEY,EGO PRODUCTION,SERIE TELEVISEE,1er,2016-09-30,2016-09-30,48.859868, 2.346812
ALICE NEVERS LE JUGE EST UNE FEMME/86 ET 87,CHRISTOPHE DELPIAS,10  BOULEVARD  DU PALAIS,EGO PRODUCTION,SERIE TELEVISEE,1er,2016-12-02,2016-12-02,48.854983, 2.345426
ALICE NEVERS LE JUGE EST UNE FEMME/86 ET 87,CHRISTOPHE DELPIAS,RUE  DE HARLAY,EGO PRODUCTION,SERIE TELEVISEE,1er,2016-12-02,2016-12-02,48.856701, 2.343164
AMANT DOUBLE,FRANCOIS OZON,17  RUE  PIERRE LESCOT,MANDARIN FILMS,LONG METRAGE,1er,2016-11-16,2016-11-16,48.863176, 2.348725
AURORE TABORT,BLANDINE LENOIR,17  RUE  DES HALLES,KARE PRODUCTIONS,LONG METRAGE,1er,2016-04-11,2016-04-11,48.8603, 2.34607
